"filename", "language", "JavaScript", "PHP", "XML", "CSS", "SCSS", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\utilities\_shadows.scss", "SCSS", 0, 0, 0, 0, 4, 0, 1, 2, 7
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\utilities\_sizing.scss", "SCSS", 0, 0, 0, 0, 11, 0, 3, 7, 21
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\utilities\_spacing.scss", "SCSS", 0, 0, 0, 0, 64, 0, 4, 6, 74
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\utilities\_stretched-link.scss", "SCSS", 0, 0, 0, 0, 13, 0, 5, 2, 20
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\utilities\_text.scss", "SCSS", 0, 0, 0, 0, 39, 0, 11, 23, 73
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\utilities\_visibility.scss", "SCSS", 0, 0, 0, 0, 6, 0, 4, 4, 14
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\vendor\_rfs.scss", "SCSS", 0, 0, 0, 0, 126, 0, 43, 36, 205
"c:\xampp\htdocs\localTheatre\scss\style.scss", "SCSS", 0, 0, 0, 0, 152, 0, 2, 35, 189
"c:\xampp\htdocs\localTheatre\whatson.php", "PHP", 0, 488, 0, 0, 0, 0, 4, 37, 529
"Total", "-", 2174, 3755, 331, 20662, 5735, 780, 2255, 5430, 41122
